true x,compute_x,true y,compute_y,delta_x,delta_y 
5,5.515150652,2.5,2.432638132,0.515150652,-0.067361868
10,10.16997168,2.5,2.460315502,0.169971685,-0.039684498
10,10.34513241,7.5,7.350403602,0.345132409,-0.149596398
15,15.13888658,2.5,2.412413683,0.138886583,-0.087586317
15,15.13341813,7.5,7.275171473,0.133418133,-0.224828527
15,15.11985408,12.5,12.13163269,0.119854084,-0.368367313
20,20.25240338,2.5,2.44360334,0.252403383,-0.05639666
20,20.14230918,7.5,7.371275481,0.142309185,-0.128724519
25,25.25973686,2.5,2.417377747,0.259736862,-0.082622253
25,24.18628595,7.5,7.10149323,-0.81371405,-0.39850677
25,24.22800959,12.5,11.84630956,-0.771990406,-0.653690438
25,24.15267753,17.5,16.59480085,-0.847322473,-0.905199154
30,29.24521278,2.5,2.327699757,-0.754787223,-0.172300243
35,34.21338159,2.5,2.513294678,-0.786618409,0.013294678
35,34.12036547,7.5,7.216068595,-0.879634529,-0.283931405
35,34.24019187,12.5,12.06909723,-0.759808135,-0.430902769
35,34.03374832,17.5,16.80010184,-0.966251683,-0.69989816
35,34.11187003,27.5,26.27451444,-0.888129966,-1.225485561
45,44.52873848,7.5,7.304406936,-0.471261522,-0.195593064
45,44.44219967,12.5,12.21376042,-0.55780033,-0.286239577
45,44.60847481,17.5,17.14935421,-0.391525191,-0.350645787
45,44.27072154,27.5,26.70001668,-0.729278462,-0.79998332
55,54.92417419,7.5,7.355859981,-0.075825807,-0.144140019
55,55.35081644,12.5,12.3937806,0.350816438,-0.106219396
55,55.17832856,17.5,17.43624269,0.178328561,-0.063757314
55,54.86218474,27.5,27.11040761,-0.137815262,-0.389592392
65,65.38228793,7.5,7.446749151,0.382287926,-0.053250849
65,66.40808635,12.5,12.70538346,1.408086352,0.205383463
65,66.08626479,17.5,17.61048168,1.086264786,0.110481681
65,65.93052302,27.5,27.61274441,0.930523024,0.112744408
75,77.69110484,7.5,7.633846534,2.691104841,0.133846534
75,77.06143187,12.5,12.6633074,2.061431873,0.163307398
75,77.87948343,17.5,17.93411337,2.87948343,0.434113372
75,76.80947903,27.5,27.85153181,1.809479026,0.351531812
