               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.013422,           0.0061607,                   0,             0.90418,             0.99362,             0.98548,             0.78409,             0.01435,           0.0039285,                   0,             0.07028,           0.0033022,           0.0033022
                   1,            0.015936,           0.0057517,                   0,             0.99266,                   1,               0.995,              0.7621,            0.015019,            0.003507,                   0,            0.040215,           0.0065698,           0.0065698
                   2,            0.020691,           0.0056386,                   0,             0.90099,                   1,               0.995,             0.62291,            0.032481,           0.0040246,                   0,            0.010083,           0.0097715,           0.0097715
                   3,            0.024128,           0.0050885,                   0,             0.93973,                   1,              0.9845,             0.57905,            0.030465,           0.0035081,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.023213,           0.0052391,                   0,              0.9473,             0.94622,             0.98761,             0.71792,            0.025674,           0.0036342,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.023507,           0.0050609,                   0,             0.85523,             0.93326,             0.93947,              0.6468,            0.030986,           0.0039783,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.024113,           0.0057386,                   0,                   1,             0.94528,              0.9925,             0.61191,            0.023828,           0.0041083,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.022798,           0.0055371,                   0,                   1,             0.93188,              0.9925,              0.6179,            0.025515,           0.0039364,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.025831,           0.0051513,                   0,             0.89371,             0.88551,             0.90725,             0.49412,            0.027561,           0.0041167,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.024213,           0.0058692,                   0,             0.61922,             0.84211,             0.77297,             0.48949,             0.03167,           0.0041682,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.027271,           0.0058663,                   0,             0.84414,             0.94737,             0.96849,             0.64773,            0.029136,           0.0040615,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.024306,           0.0057081,                   0,             0.86122,             0.98038,             0.93968,             0.64972,            0.025805,           0.0039896,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.022902,           0.0055951,                   0,             0.78901,                   1,             0.95508,             0.48687,            0.030373,           0.0036207,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.02301,           0.0049175,                   0,             0.77942,             0.93038,             0.91306,             0.57089,            0.028018,           0.0037514,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.023299,           0.0051225,                   0,             0.94359,                   1,                0.99,             0.67052,             0.02552,           0.0037958,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.021479,           0.0047273,                   0,             0.99251,                   1,               0.995,             0.69612,            0.026102,           0.0038163,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.020051,           0.0052378,                   0,             0.95916,             0.89474,             0.98555,             0.65559,              0.0268,           0.0036171,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.023035,            0.005038,                   0,              0.9892,                   1,               0.995,             0.68155,            0.023583,           0.0037273,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.020082,           0.0052458,                   0,             0.82041,             0.84211,             0.94373,             0.62416,            0.026442,           0.0037582,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.020958,           0.0050661,                   0,             0.78145,             0.94737,             0.89018,             0.63986,            0.024868,           0.0034551,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.024462,            0.004579,                   0,             0.86361,             0.99981,             0.94207,              0.4933,            0.029565,           0.0033685,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.020815,           0.0047371,                   0,                   1,             0.98052,               0.995,             0.66125,            0.020095,           0.0034667,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.018505,           0.0051585,                   0,             0.91956,             0.89474,             0.97133,             0.64107,            0.023453,           0.0036227,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.022266,           0.0050445,                   0,             0.99339,                   1,               0.995,             0.68256,            0.021391,           0.0034782,                   0,            0.007822,            0.007822,            0.007822
